epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4009,1.23587,3.49184,1.27859,1e-05,0.01587,2e-05,1e-05,2.06671,inf,1.89136,0.0672324,0.000330986,0.000330986
2,121.274,1.00904,2.35324,1.13971,0.42302,0.57137,0.40272,0.24529,1.26976,2.07826,1.32263,0.034228,0.000659935,0.000659935
3,167.804,0.92764,1.95807,1.0908,0.39937,0.68968,0.50962,0.41405,0.75931,1.78736,1.0009,0.00121923,0.000984484,0.000984484
4,220.266,0.90843,1.82019,1.08768,0.6048,0.60401,0.58686,0.42057,1.21146,1.67967,1.15282,0.0009802,0.0009802,0.0009802
5,265.487,0.84671,1.48917,1.05268,0.64214,0.76937,0.79482,0.59108,0.99749,1.16247,1.10052,0.0009736,0.0009736,0.0009736
6,309.742,0.83448,1.34901,1.04407,0.70961,0.70933,0.80881,0.50099,1.38749,1.1107,1.40379,0.000967,0.000967,0.000967
7,351.508,0.78328,1.17306,1.02716,0.76147,0.88681,0.93042,0.81474,0.56698,0.76614,0.92914,0.0009604,0.0009604,0.0009604
8,394.584,0.75101,1.02732,1.00779,0.82976,0.87928,0.92246,0.49733,1.63349,0.86852,1.70819,0.0009538,0.0009538,0.0009538
9,437.445,0.73903,0.91948,1.00614,0.87506,0.88846,0.96266,0.85138,0.55645,0.60103,0.92082,0.0009472,0.0009472,0.0009472
10,482.754,0.73074,0.8967,1.00543,0.8843,0.95506,0.96917,0.69098,1.10074,0.591,1.16778,0.0009406,0.0009406,0.0009406
11,523.555,0.74456,0.85029,1.00298,0.87263,0.89342,0.94679,0.3074,2.54808,1.01447,2.5811,0.000934,0.000934,0.000934
12,575.963,0.70896,0.76738,0.98963,0.9205,0.97947,0.99287,0.72131,1.14537,0.51853,1.13406,0.0009274,0.0009274,0.0009274
13,621.549,0.7201,0.76897,0.98979,0.87949,0.91284,0.96906,0.87348,0.49839,0.55921,0.91115,0.0009208,0.0009208,0.0009208
14,668.201,0.7045,0.73633,0.9836,0.89418,0.93951,0.96256,0.43753,2.07458,0.76551,2.00762,0.0009142,0.0009142,0.0009142
15,714.995,0.68658,0.70446,0.98164,0.92639,0.96886,0.98405,0.87364,0.54901,0.41517,0.91038,0.0009076,0.0009076,0.0009076
16,755.397,0.66131,0.65504,0.96126,0.92227,0.97348,0.99051,0.90919,0.44322,0.41051,0.90615,0.000901,0.000901,0.000901
17,795.285,0.65314,0.65009,0.95991,0.9136,0.97514,0.99414,0.86153,0.6192,0.43417,0.92658,0.0008944,0.0008944,0.0008944
18,835.11,0.66762,0.63127,0.97459,0.96478,0.99512,0.995,0.85926,0.63942,0.3566,0.93442,0.0008878,0.0008878,0.0008878
19,880.847,0.67106,0.62209,0.97422,0.89188,0.95928,0.98692,0.84274,0.64335,0.49807,0.95854,0.0008812,0.0008812,0.0008812
20,922.906,0.64777,0.62426,0.95761,0.92866,0.97269,0.99313,0.89191,0.50781,0.35731,0.90449,0.0008746,0.0008746,0.0008746
21,963.986,0.64978,0.60948,0.96085,0.95386,0.98921,0.98797,0.51846,1.76692,0.58645,1.68664,0.000868,0.000868,0.000868
22,1013.99,0.6378,0.59842,0.95596,0.96842,0.97396,0.995,0.73732,1.07767,0.43234,1.09332,0.0008614,0.0008614,0.0008614
23,1060.8,0.61984,0.56884,0.94971,0.96618,0.97377,0.99124,0.86426,0.59862,0.33449,0.91948,0.0008548,0.0008548,0.0008548
24,1101.42,0.62245,0.58379,0.94795,0.95706,0.98651,0.99464,0.84319,0.69352,0.34124,0.94565,0.0008482,0.0008482,0.0008482
25,1147.47,0.62474,0.58625,0.954,0.96463,0.97778,0.995,0.92434,0.42362,0.29866,0.89366,0.0008416,0.0008416,0.0008416
26,1188.17,0.60499,0.54777,0.93848,0.95134,0.99131,0.9948,0.87361,0.5907,0.32118,0.92294,0.000835,0.000835,0.000835
27,1229.44,0.60421,0.55134,0.94148,0.96875,0.97845,0.99257,0.86381,0.628,0.33344,0.93552,0.0008284,0.0008284,0.0008284
28,1273.69,0.59645,0.53938,0.94095,0.97349,0.99858,0.995,0.91263,0.43433,0.25788,0.88095,0.0008218,0.0008218,0.0008218
29,1324.49,0.60843,0.54353,0.94831,0.96608,0.99276,0.995,0.92278,0.43238,0.28072,0.87609,0.0008152,0.0008152,0.0008152
30,1371.5,0.59416,0.55201,0.93475,0.98254,0.99741,0.995,0.8716,0.60806,0.28402,0.92068,0.0008086,0.0008086,0.0008086
31,1412.89,0.58911,0.54351,0.93144,0.97175,0.99062,0.995,0.77481,0.9621,0.34676,1.03819,0.000802,0.000802,0.000802
32,1460.28,0.58203,0.5182,0.93191,0.97593,0.98831,0.995,0.9112,0.44883,0.2519,0.88659,0.0007954,0.0007954,0.0007954
33,1502.51,0.57545,0.52268,0.93368,0.98341,0.99563,0.995,0.91801,0.43838,0.23652,0.88265,0.0007888,0.0007888,0.0007888
34,1542.28,0.57538,0.52156,0.92901,0.98389,1,0.995,0.89002,0.54614,0.27304,0.9125,0.0007822,0.0007822,0.0007822
35,1586.48,0.58477,0.50886,0.9343,0.97978,0.99309,0.995,0.88277,0.58033,0.26431,0.91357,0.0007756,0.0007756,0.0007756
36,1633.37,0.57927,0.50037,0.93138,0.97911,0.99605,0.995,0.87728,0.60108,0.27055,0.9094,0.000769,0.000769,0.000769
37,1679.85,0.60288,0.50679,0.93832,0.98128,0.99161,0.995,0.89625,0.51991,0.25684,0.90102,0.0007624,0.0007624,0.0007624
